method,config,T0,T1,branch,arm,severity,n_pairs,delta_coverage_siv_minus_tsls,mcse_delta_coverage,bias_tsls,bias_siv,delta_signed_bias_siv_minus_tsls,mcse_delta_signed_bias,delta_abs_bias_siv_minus_tsls,mcse_delta_abs_bias,rmse_tsls,rmse_siv,delta_rmse_siv_minus_tsls,mcse_delta_rmse
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.0,1000,0.002,0.010493145672585802,0.001998121595061845,0.00122464825882681,-0.0007734733362350348,0.0008792248550103327,0.003211658866610185,0.0005743599661827676,0.01791922337839224,0.022686522182612672,0.004767298804220433,0.000729275133962882
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,0.6,1000,0.083,0.01327732229356836,0.012631742690244916,0.0012834882128023534,-0.011348254477442563,0.0008830811087131289,0.00026382478826426925,0.000608650457239833,0.021654696242094568,0.022916913402427238,0.0012622171603326703,0.0007644509537197853
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,1.4,1000,0.275,0.017019537733577395,0.026809904150489033,0.001362191281372807,-0.025447712869116224,0.0009026494520525485,-0.009862784760190308,0.0006863243135542444,0.032261732222922404,0.023312570733572662,-0.008949161489349742,0.0008077966656824166
ARIMA-Z,longer_length,30,60,GFE + Agg. Shock,C_random_geometry,2.0,1000,0.495,0.01778458015504699,0.03744352524567209,0.0013854589597499572,-0.03605806628592214,0.0009259912295559954,-0.01957543389976923,0.0007324700901128173,0.04184294812988361,0.023609234329228554,-0.018233713800655055,0.0008432831564529611
HAC,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.0,1000,-0.015,0.012285191326386655,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
HAC,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,0.6,1000,0.05,0.01362665350281153,0.008171637976706314,-0.00010642068131749504,-0.008278058658023809,0.00035487166189129957,0.001162628210656722,0.0003525637521088792,0.016754739191444216,0.018034584504011946,0.0012798453125677303,0.0004505172738658636
HAC,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,1.4,1000,0.217,0.017613098001805962,0.019366948538267644,-0.00010634180597458975,-0.01947329034424223,0.0004843985163369032,-0.00661561211932162,0.0005408211318227433,0.026342572922192022,0.018034896107792676,-0.008307676814399347,0.0007572880702372381
HAC,finite_length,5,10,Aggregate Shock,A_TSLS_targeted,2.0,1000,0.351,0.018658701646876375,0.027763431459438635,-0.00010628442591259568,-0.027869715885351233,0.0006102139770283211,-0.014182277878080523,0.0006702766637530662,0.03499238584214365,0.018035123504059617,-0.01695726233808403,0.0010037337715855068
HAC,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.0,1000,-0.015,0.012285191326386655,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
HAC,finite_length,5,10,Aggregate Shock,B_SIV_targeted,0.6,1000,0.053,0.014085076832924604,0.001783487709141271,-7.680871612210538e-05,-0.0018602964252633762,0.00045258253585747833,0.000970925777379694,0.00036245944345643106,0.0168150570022628,0.018051590580938928,0.0012365335786761293,0.00046729425220775906
HAC,finite_length,5,10,Aggregate Shock,B_SIV_targeted,1.4,1000,0.249,0.018202481433319203,0.004461264580615868,-4.6600335979112507e-05,-0.004507864916594981,0.0007899779099660614,-0.0069770095348854755,0.0005472462665331215,0.02643209816867381,0.018051085038508316,-0.008381013130165493,0.0007388249638829087
HAC,finite_length,5,10,Aggregate Shock,B_SIV_targeted,2.0,1000,0.371,0.019071516004836187,0.006469597234221807,-1.7286674690518478e-05,-0.006486883908912325,0.0010726698142208932,-0.014612862212789946,0.0006687028686986288,0.03508869602847746,0.018054659123172768,-0.01703403690530469,0.00096550051964231
HAC,finite_length,5,10,Aggregate Shock,C_random_geometry,0.0,1000,-0.015,0.012285191326386655,-0.0002248449444646603,-0.00010648135349869104,0.00011836359096596927,0.0003171633793194373,0.003101633103855626,0.0002629143232726241,0.013836271533770783,0.018034345736672487,0.004198074202901704,0.0003156945747925357
HAC,finite_length,5,10,Aggregate Shock,C_random_geometry,0.6,1000,0.05,0.01362665350281153,0.008171637976706314,-8.723796999112299e-05,-0.008258875946697436,0.0003552932017500808,0.001144483544810658,0.00035252123054413197,0.016754739191444216,0.018024277388611367,0.0012695381971671513,0.0004505955237624471
HAC,finite_length,5,10,Aggregate Shock,C_random_geometry,1.4,1000,0.216,0.017653771711893626,0.019366948538267644,-0.00016584643871257065,-0.019532794976980218,0.00048753673072146104,-0.006552836650480538,0.0005455612173609453,0.02634257292219203,0.01817108824292598,-0.00817148467926605,0.0007698031721741806
HAC,finite_length,5,10,Aggregate Shock,C_random_geometry,2.0,1000,0.35,0.01870427357182978,0.027763431459438635,-0.0003217756628149797,-0.028085207122253614,0.0006427889965410115,-0.01396083845235207,0.0007069456187569298,0.03499238584214365,0.019339545309262983,-0.015652840532880664,0.0016103218668926892
