anchor_mode,target_role,tau_true,config,T0,T1,branch,estimator,method,n,coverage,coverage_mcse,mean_bias,absolute_bias,mean_abs_error,rmse,mean_se,sd_error,mean_weight_corr,mean_weight_max_abs
fixed_template,restricted_robust,-2.613394158922053,finite_length,5,10,GFE + Agg. Shock,TSLS,HAC,1000,0.495,0.01581059771166163,0.8799979008763774,0.8799979008763774,1.1606372757071213,9.585562683232665,69.08744722039361,9.549859447347897,0.7466116697819634,0.0779577528344372
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,SIV,AR,1000,0.676,0.014799459449588015,,,,,,,0.7430477106635502,0.11533126695854108
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,SIV,ARIMA-Z,1000,0.777,0.013163244280951409,0.012372824437522335,0.012372824437522335,0.042123345250891016,0.06622896902317187,0.03444725783456698,0.06509552196803402,0.7430477106635502,0.11533126695854108
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,SIV,HAC,1000,0.654,0.015042739112276061,0.012372824437522335,0.012372824437522335,0.042123345250891016,0.06622896902317187,0.027532352456043827,0.06509552196803402,0.7430477106635502,0.11533126695854108
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,TSLS,AR,1000,0.467,0.015776913513105152,,,,,,,0.7430477106635502,0.078057864834046
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,TSLS,ARIMA-Z,1000,0.53,0.015782902141241326,0.3565993450724941,0.3565993450724941,0.7393873792072094,2.703191765947987,3.348394784260097,2.6809084095663076,0.7430477106635502,0.078057864834046
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Aggregate Shock,TSLS,HAC,1000,0.416,0.01558666096378567,0.3565993450724941,0.3565993450724941,0.7393873792072094,2.703191765947987,2.372354863712524,2.6809084095663076,0.7430477106635502,0.078057864834046
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,SIV,AR,1000,0.84,0.011593101396951551,,,,,,,0.9345207259857202,0.12442860591267532
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,SIV,ARIMA-Z,1000,0.902,0.009401914698613255,0.0010161313814275917,0.0010161313814275917,0.0182039115359036,0.026032231359096082,0.02086076771738857,0.02602540813162401,0.9345207259857202,0.12442860591267532
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,SIV,HAC,1000,0.835,0.011737759581794136,0.0010161313814275917,0.0010161313814275917,0.0182039115359036,0.026032231359096082,0.01766582144623076,0.02602540813162401,0.9345207259857202,0.12442860591267532
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,TSLS,AR,1000,0.834,0.011766222843376714,,,,,,,0.9345207259857202,0.12417452807954846
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,TSLS,ARIMA-Z,1000,0.9,0.009486832980505136,0.0011162125130108906,0.0011162125130108906,0.017069212562017367,0.023618629710466417,0.019240458924124123,0.023604043931408036,0.9345207259857202,0.12417452807954846
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,Basic,TSLS,HAC,1000,0.824,0.012042591083317579,0.0011162125130108906,0.0011162125130108906,0.017069212562017367,0.023618629710466417,0.01661694248207293,0.023604043931408036,0.9345207259857202,0.12417452807954846
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,SIV,AR,1000,0.812,0.01235540367612487,,,,,,,0.9335787161146003,0.12737739931210948
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,SIV,ARIMA-Z,1000,0.884,0.010126401137620413,-2.0129199939614927e-05,2.0129199939614927e-05,0.049608279532673466,0.09047075702165462,0.05624715573316818,0.09051602411456265,0.9335787161146003,0.12737739931210948
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,SIV,HAC,1000,0.786,0.012969348480166612,-2.0129199939614927e-05,2.0129199939614927e-05,0.049608279532673466,0.09047075702165462,0.04313315215471934,0.09051602411456265,0.9335787161146003,0.12737739931210948
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,TSLS,AR,1000,0.811,0.012380589646701,,,,,,,0.9335787161146003,0.12383635155781915
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,TSLS,ARIMA-Z,1000,0.849,0.01132249972400088,0.019795946262067328,0.019795946262067328,0.3729980424998014,0.5664456330069619,0.37484053615457924,0.5663828786514266,0.9335787161146003,0.12383635155781915
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE,TSLS,HAC,1000,0.802,0.012601428490452976,0.019795946262067328,0.019795946262067328,0.3729980424998014,0.5664456330069619,0.307928935738278,0.5663828786514266,0.9335787161146003,0.12383635155781915
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,SIV,AR,1000,0.714,0.014289996501049257,,,,,,,0.7460562475540529,0.11736067096809241
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,SIV,ARIMA-Z,1000,0.81,0.012405643876881197,0.06008554769328928,0.06008554769328928,0.14456415125669636,0.2462613621431641,0.12792503524448892,0.23893822825141228,0.7460562475540529,0.11736067096809241
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,SIV,HAC,1000,0.679,0.0147634345597493,0.06008554769328928,0.06008554769328928,0.14456415125669636,0.2462613621431641,0.09708609174213134,0.23893822825141228,0.7460562475540529,0.11736067096809241
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,TSLS,AR,1000,0.564,0.015681326474504636,,,,,,,0.7460562475540529,0.0779577528344372
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,TSLS,ARIMA-Z,1000,0.636,0.015215255502291114,0.8799979008763772,0.8799979008763772,1.160637275707121,9.585562683232661,162.87398042994934,9.549859447347893,0.7460562475540529,0.0779577528344372
fixed_template,restricted_tsls,-1.136097700507271,finite_length,5,10,GFE + Agg. Shock,TSLS,HAC,1000,0.495,0.01581059771166163,0.8799979008763772,0.8799979008763772,1.160637275707121,9.585562683232661,69.08744722039357,9.549859447347893,0.7460562475540529,0.0779577528344372
reanchored_template,restricted_midpoint,-1.874745929714662,finite_length,5,10,Aggregate Shock,SIV,AR,1000,0.677,0.014787528529135624,,,,,,,0.7433218813109314,0.11533076623697673
