sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,3.0,HAC,finite_length,5,10,Aggregate Shock,TSLS,1000,0.641,0.25213458026907903,0.8166777675064223,3.709684579034828,13.336246642296858,3.7029582402574337,0.7660321753722835,0.256192485937773,0.2521345802690779,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,Basic,SIV,1000,0.835,0.0010161214696911517,0.01820379257826221,0.026032084321418243,0.017665704016748593,0.026025261295552136,0.934528132971296,0.0,0.0010161214696911528,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,Basic,TSLS,1000,0.824,0.0011162125130108897,0.017069212562017367,0.023618629710466407,0.01661694248207269,0.02360404393140803,0.934528132971296,0.0,0.0011162125130108965,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,GFE,SIV,1000,0.785,-1.3798899967071065e-05,0.04961722585595104,0.09046302931984146,0.043146547412414395,0.09050829373348833,0.9336887671454831,0.0,-1.3798899967082056e-05,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,GFE,TSLS,1000,0.802,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.748,0.02196305123219336,0.13127113031852558,0.23698386846555325,0.10300193924265534,0.23608200483407704,0.7682398441448426,0.028304876881640257,0.021963051232193373,1.9599639845400536
restricted,49,0.25,3.0,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.702,0.13005264407156178,2.1753368657961305,26.414329071457537,945.0442034106361,26.4272258262173,0.7682398441448426,0.0036658634777357547,0.13005264407158107,1.9599639845400536
restricted,49,0.25,4.5,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.736,nan,nan,nan,nan,nan,0.7674708203989775,0.002239740607514481,0.003615480258948284,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.662,nan,nan,nan,nan,nan,0.7674708203989775,0.3842887289066596,0.380230823237965,2.306004135204166
restricted,49,0.25,4.5,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
